id,area,area_name,topic,subject,tags,source,kind,status,hensachi,stats_data_id,example_question,has_sparql
country-currency,chiri,地理,世界の国と通貨,世界の通貨,地理;世界;通貨,wikidata,pair,draft,58,,◯◯で使われている通貨は何ですか。,yes
country-gdp-rank,koumin,公民,国のGDP,国内総生産(GDP),公民;経済;世界,wikidata,rank,draft,,,国内総生産(GDP)が世界で1番目に大きい国はどこですか。,yes
country-language,chiri,地理,国と公用語,公用語,地理;世界;言語,wikidata,pair,draft,56,,◯◯の公用語は何ですか。,yes
country-un-year,koumin,公民,国連加盟年,国連加盟年,公民;国際;国連,wikidata,pair,draft,62,,◯◯が国際連合に加盟したのは西暦何年ですか。,yes
dam-region,chiri,地理,ダムと地域,ダム,地理;ダム,wikidata,single-region,draft,58,,◯◯があるのはどの都道府県ですか。,yes
earthquake-year,rekishi,歴史,地震と年,地震の発生年,歴史;災害;地震,wikidata,pair,draft,52,,◯◯が発生したのは西暦何年ですか。,yes
element-density-rank,kagaku,化学,元素と密度,元素の密度,理科;元素;密度,wikidata,rank,draft,,,密度が1番目に大きい元素は何ですか。,yes
element-discovery-year,kagaku,化学,元素の発見年,元素の発見年,理科;元素;発見,wikidata,pair,draft,66,,元素「◯◯」が発見されたのは西暦何年ですか。,yes
element-melting-rank,kagaku,化学,元素と融点,元素の融点,理科;元素;融点,wikidata,rank,draft,,,原子番号1〜20の元素の中で融点が1番目に高い元素は何ですか。,yes
element-number,kagaku,化学,元素と原子番号,原子番号,理科;元素,wikidata,pair,draft,64,,◯◯の原子番号はいくつですか。,yes
element-symbol,kagaku,化学,元素と記号,元素記号,理科;元素,wikidata,pair,draft,58,,◯◯の元素記号は何ですか。,yes
era-start-year,rekishi,歴史,元号,元号の始まり,歴史;元号,wikidata,pair,fixed-untested,60,,元号の「◯◯」が始まったのは西暦何年ですか。,yes
event-year,rekishi,歴史,年号,出来事の年,歴史;年号,wikidata,pair,fixed-untested,52,,◯◯が起きたのは西暦何年ですか。,yes
festival-region,rekishi,歴史,お祭りと地域,お祭り,歴史;祭り,wikidata,single-region,fixed-untested,54,,◯◯があるのはどの都道府県ですか。,yes
figure-birthplace,rekishi,歴史,人物と出身地,人物の出身都道府県,歴史;人物,wikidata,single-region,fixed-untested,54,,◯◯はどの都道府県の出身ですか。,yes
fishery-catch,chiri,地理,水産業,漁業の水あげ量,統計;水産業,e-stat,rank,fixed-untested,,0002001226,漁業の水あげ量が日本一多い都道府県はどこですか。,no
garden-region,rekishi,歴史,庭園と地域,庭園,歴史;庭園,wikidata,single-region,fixed-untested,58,,◯◯があるのはどの都道府県ですか。,yes
historical-capital-region,rekishi,歴史,古代の都,都,歴史;都,wikidata,single-region,draft,50,,◯◯があるのはどの都道府県ですか。,yes
hot-spring-region,chiri,地理,温泉と地域,温泉,地理;温泉,wikidata,single-region,live-verified,56,,◯◯があるのはどの都道府県ですか。,yes
industrial-output,chiri,地理,工業,工業製品の出荷額,統計;工業,e-stat,rank,fixed-untested,,0004003974,工業製品の出荷額が日本一多い都道府県はどこですか。,no
intl-court-hq,koumin,公民,国際裁判所と本部,国際裁判所の本部,公民;国際;法,wikidata,pair,live-verified,62,,◯◯の本部が置かれているのはどの都市ですか。,yes
intl-org-abbrev,koumin,公民,国際機関の略称,国際機関の略称,公民;国際,wikidata,pair,draft,54,,◯◯をアルファベットの略称で何といいますか。,yes
intl-org-founded,koumin,公民,国際機関の設立,国際機関の設立年,公民;国際,wikidata,pair,draft,60,,◯◯が設立されたのは西暦何年ですか。,yes
intl-org-hq,koumin,公民,国際機関,国際機関の本部,公民;国際,wikidata,pair,draft,56,,◯◯の本部が置かれている都市はどこですか。,yes
island-rank,chiri,地理,島と面積,島の面積,地理;島,wikidata,rank,draft,,,日本で1番目に面積が広い島は何ですか。,yes
kofun-region,rekishi,歴史,古墳と地域,古墳,歴史;古墳,wikidata,single-region,fixed-untested,56,,◯◯があるのはどの都道府県ですか。,yes
lake-rank,chiri,地理,湖と面積,湖の面積,地理;湖,wikidata,rank,draft,,,日本で1番目に面積が広い湖は何ですか。,yes
literary-work-year,rekishi,歴史,文学作品と成立年,文学作品の成立年,歴史;文学,wikidata,pair,draft,52,,「◯◯」が刊行(成立)されたのは西暦何年ですか。,yes
meiji-event-year,rekishi,歴史,明治時代のできごと,明治時代のできごと,歴史;明治,wikidata,pair,live-verified,52,,明治時代に◯◯が起きたのは西暦何年ですか。,yes
mikan-harvest,chiri,地理,農業(果物),みかんの収穫量,統計;農業;果物,e-stat,rank,draft,,,みかんの収穫量が日本一多い都道府県はどこですか。,no
mine-region,rekishi,歴史,鉱山と地域,鉱山,歴史;鉱業,wikidata,single-region,draft,60,,◯◯があるのはどの都道府県ですか。,yes
mineral-hardness-rank,kagaku,化学,鉱物とモース硬度,モース硬度,理科;鉱物;岩石,wikidata,rank,live-verified,,,モース硬度が1番目に低い(やわらかい)鉱物は何ですか。,yes
moon-radius-rank,chigaku,地学,太陽系の衛星,衛星の大きさ,理科;天体;衛星,wikidata,rank,live-verified,,,太陽系で1番目に半径が大きい衛星は何ですか。,yes
mountain-rank,chiri,地理,山と標高,山の高さ,地理;山,wikidata,rank,draft,,,日本で1番目に高い山は何ですか。,yes
museum-region,rekishi,歴史,博物館・美術館と地域,博物館,歴史;博物館,wikidata,single-region,draft,58,,◯◯があるのはどの都道府県ですか。,yes
national-park-region,chiri,地理,国立公園,国立公園,地理;国立公園,wikidata,single-region,draft,58,,◯◯があるのはどの都道府県ですか。,yes
national-treasure-region,rekishi,歴史,国宝と地域,国宝,歴史;国宝,wikidata,single-region,fixed-untested,60,,◯◯があるのはどの都道府県ですか。,yes
ngo-hq,koumin,公民,国際NGOと本部,NGOの本部,公民;国際;NGO,wikidata,pair,live-verified,64,,◯◯(NGO)の本部が置かれているのはどの都市ですか。,yes
nobel-japanese,koumin,公民,日本人のノーベル賞,ノーベル賞の分野,公民;ノーベル賞;科学,wikidata,pair,draft,56,,◯◯はどの分野でノーベル賞を受賞しましたか。,yes
ocean-area-rank,chiri,地理,海洋と面積,海洋の面積,地理;世界;海洋,wikidata,rank,draft,,,世界で1番目に広い海洋は何ですか。,yes
ocean-trench-depth-rank,chigaku,地学,海溝と深さ,海溝の深さ,理科;地学;海洋,wikidata,rank,live-verified,,,世界で1番目に深い海溝は何ですか。,yes
painting-artist,rekishi,歴史,絵画と作者,絵画の作者,歴史;芸術;絵画,wikidata,pair,live-verified,56,,「◯◯」を描いた画家はだれですか。,yes
peninsula-region,chiri,地理,半島と地域,半島,地理;半島,wikidata,single-region,draft,50,,◯◯があるのはどの都道府県ですか。,yes
pig-stock,chiri,地理,畜産業,豚の飼育頭数,統計;畜産,e-stat,rank,draft,,,豚の飼育頭数が日本一多い都道府県はどこですか。,no
plain-region,chiri,地理,平野と地域,平野,地理;平野,wikidata,single-region,draft,46,,◯◯があるのはどの都道府県ですか。,yes
planet-diameter-rank,chigaku,地学,惑星の大きさ,惑星の大きさ,理科;天体,wikidata,rank,draft,,,太陽系で1番目に大きい惑星は何ですか。,yes
planet-distance-rank,chigaku,地学,太陽系の惑星,惑星の距離,理科;天体,wikidata,rank,draft,,,太陽から1番目に近い惑星は何ですか。,yes
planet-moons-rank,chigaku,地学,惑星の衛星,惑星の衛星の数,理科;天体,wikidata,rank,draft,,,衛星の数が太陽系で1番目に多い惑星は何ですか。,yes
plateau-region,chiri,地理,高原と地域,高原,地理;高原,wikidata,single-region,draft,56,,◯◯があるのはどの都道府県ですか。,yes
pm-year,rekishi,歴史,内閣総理大臣と就任年,首相の就任年,歴史;近代;政治,wikidata,pair,draft,62,,◯◯が内閣総理大臣に就任したのは西暦何年ですか。,yes
postwar-event-year,rekishi,歴史,戦後のできごと,戦後のできごと,歴史;戦後;現代,wikidata,pair,live-verified,52,,戦後に◯◯が起きたのは西暦何年ですか。,yes
pref-area-rank,chiri,地理,都道府県の面積,都道府県の面積,地理;面積,wikidata,rank,draft,,,面積が日本で1番目に広い都道府県はどこですか。,yes
pref-capital,chiri,地理,都道府県と県庁所在地,県庁所在地,地理;県庁所在地,wikidata,pair,draft,45,,◯◯の県庁所在地の都市はどこですか。,yes
pref-population-estat,chiri,地理,人口,人口,統計;人口,e-stat,rank,fixed-untested,,0000150008,人口が日本一多い都道府県はどこですか。,no
pref-population-rank,chiri,地理,都道府県の人口,都道府県の人口,地理;人口,wikidata,rank,draft,,,人口が日本で1番目に多い都道府県はどこですか。,yes
province-prefecture,chiri,地理,旧国名と都道府県,旧国名,地理;旧国名,wikidata,single-region,fixed-untested,52,,◯◯は現在のどの都道府県にあたりますか。,yes
rice-harvest,chiri,地理,農業(米),米の収穫量,統計;農業;米,e-stat,rank,draft,,,米の収穫量が日本一多い都道府県はどこですか。,no
river-rank,chiri,地理,川と長さ,川の長さ,地理;川,wikidata,rank,draft,,,日本で1番目に長い川は何ですか。,yes
ruins-region,rekishi,歴史,遺跡と地域,遺跡,歴史;遺跡,wikidata,single-region,fixed-untested,50,,◯◯があるのはどの都道府県ですか。,yes
shogun-period,rekishi,歴史,江戸将軍と就任年,将軍の就任年,歴史;江戸;将軍,wikidata,pair,live-verified,60,,◯◯が将軍に就任したのは西暦何年ですか。,yes
showa-event-year,rekishi,歴史,昭和戦前のできごと,昭和戦前のできごと,歴史;昭和;戦争,wikidata,pair,live-verified,52,,昭和時代前半に◯◯が起きたのは西暦何年ですか。,yes
shrine-region,rekishi,歴史,神社と地域,神社,歴史;神社,wikidata,single-region,draft,56,,◯◯があるのはどの都道府県ですか。,yes
soybean-harvest,chiri,地理,農業(豆類),大豆の収穫量,統計;農業;豆類,e-stat,rank,draft,,,大豆の収穫量が日本一多い都道府県はどこですか。,no
star-brightness-rank,chigaku,地学,星の明るさ,恒星の明るさ,理科;天体,wikidata,rank,fixed-untested,,,地球から見て1番目に明るい恒星は何ですか(太陽を除く)。,yes
strait-region,chiri,地理,海峡と地域,海峡,地理;海峡,wikidata,single-region,live-verified,56,,◯◯があるのはどの都道府県ですか。,yes
tea-harvest,chiri,地理,農業(茶),お茶(茶)の収穫量,統計;農業;茶,e-stat,rank,draft,,,お茶(茶)の収穫量が日本一多い都道府県はどこですか。,no
temple-region,rekishi,歴史,寺院と地域,寺院,歴史;寺院,wikidata,single-region,draft,52,,◯◯があるのはどの都道府県ですか。,yes
treaty-year,rekishi,歴史,条約と年,条約の年,歴史;条約,wikidata,pair,draft,58,,◯◯が結ばれたのは西暦何年ですか。,yes
tunnel-region,chiri,地理,トンネルと地域,トンネル,地理;トンネル,wikidata,single-region,draft,56,,◯◯があるのはどの都道府県ですか。,yes
volcano-region,chiri,地理,火山と地域,火山,地理;火山,wikidata,single-region,draft,54,,◯◯があるのはどの都道府県ですか。,yes
war-year,rekishi,歴史,戦争と年,戦争の年,歴史;戦争,wikidata,pair,draft,54,,◯◯が始まったのは西暦何年ですか。,yes
waterfall-region,chiri,地理,滝と地域,滝,地理;滝,wikidata,single-region,live-verified,56,,◯◯があるのはどの都道府県ですか。,yes
wheat-harvest,chiri,地理,農業(穀物),小麦の収穫量,統計;農業;穀物,e-stat,rank,draft,,,小麦の収穫量が日本一多い都道府県はどこですか。,no
world-area-rank,chiri,地理,世界の国の面積,世界の国の面積,地理;世界;面積,wikidata,rank,draft,,,世界で1番目に面積が広い国はどこですか。,yes
world-country-capital,chiri,地理,世界の国と首都,世界の首都,地理;世界;首都,wikidata,pair,draft,50,,◯◯の首都はどこですか。,yes
world-desert-rank,chiri,地理,世界の砂漠,砂漠の面積,地理;世界;砂漠,wikidata,rank,draft,,,世界で1番目に広い砂漠は何ですか。,yes
world-heritage-region,rekishi,歴史,世界遺産,世界遺産,歴史;世界遺産,wikidata,single-region,draft,52,,◯◯があるのはどの都道府県ですか。,yes
world-heritage-year,rekishi,歴史,世界遺産の登録年,世界遺産の登録年,歴史;世界遺産,wikidata,pair,draft,62,,◯◯が世界遺産に登録されたのは西暦何年ですか。,yes
world-island-rank,chiri,地理,世界の島の面積,世界の島の面積,地理;世界;島,wikidata,rank,draft,,,世界で1番目に面積が大きい島は何ですか。,yes
world-lake-rank,chiri,地理,世界の湖,世界の湖の面積,地理;世界;湖,wikidata,rank,draft,,,世界で1番目に面積が広い湖は何ですか。,yes
world-mountain-rank,chiri,地理,世界の山,世界の山の高さ,地理;世界;山,wikidata,rank,draft,,,世界で1番目に高い山は何ですか。,yes
world-population-rank,chiri,地理,世界の国の人口,世界の国の人口,地理;世界;人口,wikidata,rank,draft,,,世界で1番目に人口が多い国はどこですか。,yes
world-river-rank,chiri,地理,世界の川,世界の川の長さ,地理;世界;川,wikidata,rank,draft,,,世界で1番目に長い川は何ですか。,yes
